expression, support, number_variables, variables, complexity, diversity, comments
alfa*n/(-alfa*n/3 + 1) + 1, 0 1 0 1, 2, n  alfa, 14, 2.5798439652180236, Feynman-"II.11.28" equation number 65
I/(2*pi*c**2*epsilon*r), 1 5 1 5 1 5 1 5, 4, epsilon  c  I  r, 15, 2.5736885997228045, Feynman-"II.13.17" equation number 66
rho_c_0/sqrt(1 - v**2/c**2), 1 5 1 2 3 10, 3, rho_c_0  v  c, 14, 2.639057329615258, Feynman-"II.13.23" equation number 67
rho_c_0*v/sqrt(1 - v**2/c**2), 1 5 1 2 3 10, 3, rho_c_0  v  c, 15, 2.6701198898068177, Feynman-"II.13.34" equation number 68
-B*mom*cos(theta), 1 5 1 5 1 5, 3, mom  B  theta, 6, 1.7917594692280547, Feynman-"II.15.4" equation number 69
-Ef*p_d*cos(theta), 1 5 1 5 1 5, 3, p_d  Ef  theta, 6, 1.7917594692280547, Feynman-"II.15.5" equation number 70
q/(4*pi*epsilon*r*(1 - v/c)), 1 5 1 5 1 5 1 2 3 10, 5, q  epsilon  r  v  c, 20, 2.7136568436859325, Feynman-"II.21.32" equation number 71
sqrt(-pi**2/d**2 + omega**2/c**2), 4 6 1 2 2 4, 3, omega  c  d, 18, 2.8389889331547, Feynman-"II.24.17" equation number 72
Ef**2*c*epsilon, 1 5 1 5 1 5, 3, epsilon  c  Ef, 6, 1.7917594692280547, Feynman-"II.27.16" equation number 73
Ef**2*epsilon, 1 5 1 5, 2, epsilon  Ef, 5, 1.6094379124341005, Feynman-"II.27.18" equation number 74
q*v/(2*pi*r), 1 5 1 5 1 5, 3, q  v  r, 10, 2.2538575896013517, Feynman-"II.34.2a" equation number 75
q*r*v/2, 1 5 1 5 1 5, 3, q  v  r, 5, 1.6094379124341005, Feynman-"II.34.2" equation number 76
B*g_*q/(2*m), 1 5 1 5 1 5 1 5, 4, g_  q  B  m, 8, 2.0794415416798357, Feynman-"II.34.11" equation number 77
h*q/(4*pi*m), 1 5 1 5 1 5, 3, q  h  m, 10, 2.2538575896013517, Feynman-"II.34.29a" equation number 78
2*pi*B*Jz*g_*mom/h, 1 5 1 5 1 5 1 5 1 5, 5, g_  h  Jz  mom  B, 10, 2.3025850929940455, Feynman-"II.34.29b" equation number 79
n_0/(exp(B*mom/(T*kb)) + exp(-B*mom/(T*kb))), 1 3 1 3 1 3 1 3 1 3, 5, n_0  kb  T  mom  B, 15, 2.573688599722805, Feynman-"II.35.18" equation number 80
mom*n_rho*tanh(B*mom/(T*kb)), 1 5 1 5 1 5 1 5 1 5, 5, n_rho  mom  B  kb  T, 13, 2.5070264355574183, Feynman-"II.35.21" equation number 81
H*mom/(T*kb) + M*alfa*mom/(T*c**2*epsilon*kb), 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3, 8, mom  H  kb  T  alfa  epsilon  c  M, 24, 3.0724579351310863, Feynman-"II.36.38" equation number 82
B*mom*(chi + 1), 1 5 1 5 1 5, 3, mom  B  chi, 6, 1.7917594692280547, Feynman-"II.37.1" equation number 83
A*Y*x/d, 1 5 1 5 1 5 1 5, 4, Y  A  d  x, 7, 1.945910149055313, Feynman-"II.38.3" equation number 84
Y/(2*sigma + 2), 1 5 1 5, 2, Y  sigma, 8, 2.0794415416798357, Feynman-"II.38.14" equation number 85
1/(exp(h*omega/(2*pi*T*kb)) - 1), 1 5 1 5 1 5 1 5, 4, h  omega  kb  T, 18, 2.5787454278618456, Feynman-"III.4.32" equation number 86
h*omega/(2*pi*(exp(h*omega/(2*pi*T*kb)) - 1)), 1 5 1 5 1 5 1 5, 4, h  omega  kb  T, 25, 2.9687521236893466, Feynman-"III.4.33" equation number 87
4*pi*B*mom/h, 1 5 1 5 1 5, 3, mom  B  h, 8, 2.0794415416798357, Feynman-"III.7.38" equation number 88
sin(2*pi*E_n*t/h)**2, 1 2 1 2 1 4, 3, E_n  t  h, 11, 2.351673301904631, Feynman-"III.8.54" equation number 89
8*pi*Ef*p_d*sin(t*(omega - omega_0)/2)**2/(h*t*(omega - omega_0)**2), 1 3 1 3 1 3 1 3 1 5 1 5, 6, p_d  Ef  t  h  omega  omega_0, 29, 3.2250873309769306, Feynman-"III.9.52" equation number 90
mom*sqrt(Bx**2 + By**2 + Bz**2), 1 5 1 5 1 5 1 5, 4, mom  Bx  By  Bz, 14, 2.5013567436533415, Feynman-"III.10.19" equation number 91
h*n/(2*pi), 1 5 1 5, 2, n  h, 7, 1.945910149055313, Feynman-"III.12.43" equation number 92
4*pi*E_n*d**2*k/h, 1 5 1 5 1 5 1 5, 4, E_n  d  k  h, 11, 2.3978952727983707, Feynman-"III.13.18" equation number 93
I_0*(exp(Volt*q/(T*kb)) - 1), 1 5 1 2 1 2 1 2 1 2, 5, I_0  q  Volt  kb  T, 14, 2.5013567436533415, Feynman-"III.14.14" equation number 94
2*U*(1 - cos(d*k)), 1 5 1 5 1 5, 3, U  k  d, 11, 2.3978952727983707, Feynman-"III.15.12" equation number 95
h**2/(8*pi**2*E_n*d**2), 1 5 1 5 1 5, 3, h  E_n  d, 14, 2.599301927099795, Feynman-"III.15.14" equation number 96
2*pi*alfa/(d*n), 1 5 1 5 1 5, 3, alfa  n  d, 10, 2.2538575896013517, Feynman-"III.15.27" equation number 97
betta*(alfa*cos(theta) + 1), 1 5 1 5 1 5, 3, betta  alfa  theta, 8, 2.0794415416798357, Feynman-"III.17.37" equation number 98
-m*q**4/(8*epsilon**2*h**2*n**2), 1 5 1 5 1 5 1 5 1 5, 5, m  q  h  n  epsilon, 15, 2.573688599722804, Feynman-"III.19.51" equation number 99
-A_vec*q*rho_c_0/m, 1 5 1 5 1 5 1 5, 4, rho_c_0  q  A_vec  m, 8, 2.0253262207700677, Feynman-"III.21.20" equation number 100
